order_uuid,payment_status
7d9a28f7-418b-4e8a-9ab3-68bf5deba724,success
f70a0b8c-f6cd-4876-b21b-33ee76d2d993,failure
5507582b-992f-4eb0-97e6-6d4b5d66b06c,success
c48a1e2e-06cf-4cb5-b697-0c695227b450,success
1d83bf09-4c3a-458f-91c3-bb27c475ede8,failure
4a9d5d35-012c-46c2-ae39-c912fc4146a4,failure
777ba47e-acbc-4c74-ac90-cf227d8e48dc,failure
ee623477-87fb-4314-a37e-6b5584af5af7,failure
a0ac1a9c-1a08-4e44-a231-a52d340b620f,success
cb29203e-2786-4f07-acae-79849ae661ec,success
ccfe119f-6196-42c4-adfb-0ddba6eafa82,success
907811aa-1a96-43d9-82ed-47c47ad3ba16,failure
176e0cdf-3785-4c5a-9b7f-fb2daf046a75,success
fce58fce-64c9-49c9-b940-feee9c5b7062,success
d2b5f63d-5c5f-4a26-8df1-fd54f35e34c0,failure
98f7994d-e27d-499e-b26a-a3a14be396ee,success
b5307c29-6083-42f2-9261-f8616eb661b9,success
e832ddf0-437d-4c70-bf4f-099042f8d107,failure
be7866d8-506d-4b9b-8be0-fdc72203caa4,failure
a727afae-a271-4a4c-984c-8de3cdbf4fce,success
3cdd4b5e-dfe0-4ccb-abc3-26df2a0e5777,failure
da629c15-9c37-4ad0-8abb-945dcb312093,success
f60e84ca-819a-4fb5-aff9-a517e80a8526,failure
515b371e-3756-40da-a2ff-aa5803312607,failure
174bd505-4626-4d7d-bcbf-6db9d85ebbac,success
b0f525e1-42a7-4726-ba05-3569515f61aa,failure
5d93590c-7707-44c3-92ac-e20d4492e36b,failure
36fd4090-410a-4d81-8824-c606a2e7a54b,failure
649f4291-7372-4f5a-b5e1-e03f6880db82,failure
398cfd94-3cb5-4f1a-bf40-353fed57bdb8,failure
6d1db50e-3f31-4335-8ddb-57ad41e6ca16,failure
277220e5-03a9-4102-96fd-aefa4113348a,success
3b0e7b08-7ca4-4390-9175-1f74a96307e1,success
8cfb08a3-9ea9-48de-8fe0-d6b308643e60,success
61d7ab6b-14e3-4b64-8d21-0ad9071babc3,failure
ccd38fcf-fe8f-450a-9937-02f76044961b,failure
78e7b58d-1b59-4927-8af6-5a10be66aef0,failure
6d077087-cb96-4009-9454-c15ce4a65afb,failure
c53bcbf0-0bcd-4fd3-a7cc-61486cc1d804,failure
3db520ef-802b-4c50-af0e-ef20f27ef211,success
0d8a7074-c50f-4fcd-a3df-87ba064b517e,failure
d27b9ec6-ab65-4317-a413-eb37cf0c1347,success
58ec7522-597b-4a5c-a61d-be0c273b1575,failure
24514ab1-8be0-4ba9-965f-e86abfb33a82,failure
872ca223-f28a-42e8-a649-c3cf5813d7d4,failure
c20f97e5-9ad7-4db2-a852-4a3daa24d76f,success
485db45a-316d-443f-a155-a4a005b99cdd,success
1052311e-2a75-4136-ab38-2531da5b4fa2,success
a481d2c4-d9d6-48d9-a5cb-5aa35f4ed3eb,failure
